ParamName,ParamIndex,Label,Fiducial,Min,Max,Context,Color
Omega0,1,"$\Omega_m$",0.3,0.1,0.5,Cosmology,#888888
sigma8,2,"$\sigma_8$",0.8,0.6,1,Cosmology,#888888
OmegaBaryon,7,"$\Omega_b$",0.049,0.029,0.069,Cosmology,#888888
HubbleParam,8,"$h$",0.6711,0.4711,0.8711,Cosmology,#888888
n_s,9,"$n_s$",0.9624,0.7624,1.1624,Cosmology,#888888
SofteningComovingType01,35,"$\epsilon$",2,1,4,Gravity,#d55181
UVBH0beta,29,"$\beta_H$",1,0.4642,10,Background radiation,#199e70
UVBH0Deltaz,30,"$\Delta z_H$",0,-5,0,Background radiation,#199e70
UVBHepbeta,31,"$\beta_{He}$",1,0.25,4,Background radiation,#199e70
UVBHepDeltaz,32,"$\Delta z_{He}$",0,-1,0,Background radiation,#199e70
MaxSfrTimescale,10,"$t_0^*$",2.27,1.135,4.54,Star-formation,#eb6834
FactorForSofterEQS,11,"$q_{eEOS}$",0.3,0.1,0.9,ISM,#c98500
IMFslope,12,"$b_{IMF}$",-2.3,-2.8,-1.8,Stellar Evolution,#008300
SNII_MinMass_Msun,13,"$M_{SNII,min}$",8,4,12,Stellar Evolution,#008300
SNIa_Rate_Norm,33,"$N_0\,[10^{-3}]$",1.3,0.85,1.75,Stellar Evolution,#008300
SNIa_Rate_DTD_power,34,"$s$",1.12,0.88,1.36,Stellar Evolution,#008300
WindEnergyIn1e51erg,3,"$\bar{e}_w=3.6\,A_{SN1}$",3.6,0.9,14.4,Galactic winds,#2a78d6
VariableWindVelFactor,4,"$\kappa_w=7.4\,A_{SN2}$",7.4,3.7,14.8,Galactic winds,#2a78d6
ThermalWindFraction,14,"$\tau_w$",0.1,0.025,0.4,Galactic winds,#2a78d6
VariableWindSpecMomentum,15,"$\bar{m}_w$",0,0,4000,Galactic winds,#2a78d6
WindFreeTravelDensFac,16,"$n_{w,rec}$",0.05,0.005,0.5,Galactic winds,#2a78d6
MinWindVel,17,"$v_{w,min}$",350,150,550,Galactic winds,#2a78d6
WindEnergyReductionFactor,18,"$f_{w,Z}$",0.25,0.0625,1,Galactic winds,#2a78d6
WindEnergyReductionMetallicity,19,"$Z_{w,ref}\,[10^{-3}]$",2,0.5,8,Galactic winds,#2a78d6
WindEnergyReductionExponent,20,"$\gamma_{w,Z}$",2,1,3,Galactic winds,#2a78d6
WindDumpFactor,21,"$1-\gamma_w$",0.6,0.2,1,Galactic winds,#2a78d6
SeedBlackHoleMass,22,"$M_{seed}\,[10^{-5}]$",8,2.5316,25.28,BH growth,#4a3aa7
BlackHoleAccretionFactor,23,"$A_{Bondi}$",1,0.25,4,BH growth,#4a3aa7
BlackHoleEddingtonFactor,24,"$A_{Edd}$",1,0.1,10,BH growth,#4a3aa7
RadioFeedbackFactor,5,"$A_{AGN1}$",1,0.25,4,AGN feedback,#e34948
RadioFeedbackReiorientationFactor,6,"$f_{re}=20\,A_{AGN2}$",20,10,40,AGN feedback,#e34948
BlackHoleFeedbackFactor,25,"$\epsilon_{f,high}$",0.1,0.025,0.4,AGN feedback,#e34948
BlackHoleRadiativeEfficiency,26,"$\epsilon_r$",0.2,0.05,0.8,AGN feedback,#e34948
QuasarThreshold,27,"$\xi_0\,[10^{-3}]$",2,0.063,63.2,AGN feedback,#e34948
QuasarThresholdPower,28,"$\beta_\chi$",2,0,4,AGN feedback,#e34948
