suite,sim_id,halo_mass,log_halo,truth_s,gen_s,rel_stars,ratio_stars,log_bin
CV,sim_0,327664732733440.0,14.515429699839816,3851616780288.0,3050711547904.0,-0.20794001014922187,1.26253063254514,"[14.2,16.0)"
CV,sim_0,136568182407168.0,14.135349529400061,2133755428864.0,1934364770304.0,-0.09344588225191043,1.103078106891217,"[13.8,14.2)"
CV,sim_0,130566158548992.0,14.115830626709759,1888678838272.0,1695103057920.0,-0.1024926930028545,1.1141970568972543,"[13.8,14.2)"
CV,sim_0,97928366522368.0,13.990908510390508,1455977791488.0,1322224713728.0,-0.09186477880497422,1.1011575992880094,"[13.8,14.2)"
CV,sim_0,86899167330304.0,13.93901561504951,2008827559936.0,1826116206592.0,-0.09095422473685151,1.100054614643055,"[13.8,14.2)"
CV,sim_0,80924968484864.0,13.908082538944523,1726883299328.0,1509426331648.0,-0.12592452991155875,1.1440659693822748,"[13.8,14.2)"
CV,sim_0,63574516957184.0,13.80328306906597,2276535566336.0,1784149442560.0,-0.21628747253374886,1.2759780722569383,"[13.8,14.2)"
CV,sim_0,51729613717504.0,13.713739235397622,2870644572160.0,2856851079168.0,-0.0048050159625373495,1.0048282156156412,"[13.5,13.8)"
CV,sim_0,49845477834752.0,13.69762576364067,2990920433664.0,3138155708416.0,0.0492274127706001,0.9530822277692786,"[13.5,13.8)"
CV,sim_0,47347123879936.0,13.675293602747733,832536772608.0,572603891712.0,-0.3122178976932583,1.4539488547988026,"[13.5,13.8)"
CV,sim_0,45748477493248.0,13.660376645347089,911195373568.0,912239230976.0,0.0011455912071991,0.9988557196702852,"[13.5,13.8)"
CV,sim_0,46118314442752.0,13.663873426081706,2780690907136.0,2727251017728.0,-0.01921820554411815,1.0195947820939928,"[13.5,13.8)"
CV,sim_0,43889310302208.0,13.642358756185626,907362500608.0,805937545216.0,-0.11177997252921272,1.125847165197915,"[13.5,13.8)"
CV,sim_0,42826884710400.0,13.63171648433611,2613437792256.0,2566029574144.0,-0.01814017469728092,1.0184753202339123,"[13.5,13.8)"
CV,sim_0,37971227049984.0,13.579454631704627,2789896355840.0,2807323164672.0,0.006246400084189875,0.9937923752237352,"[13.5,13.8)"
CV,sim_0,37475498065920.0,13.57374741352414,947659407360.0,1073575034880.0,0.1328701288058514,0.8827137149905182,"[13.5,13.8)"
CV,sim_0,32530377998336.0,13.512289109750888,2414713241600.0,1997220216832.0,-0.1728954881994051,1.209037051222238,"[13.5,13.8)"
CV,sim_0,31989623160832.0,13.50500912410614,562196774912.0,449299546112.0,-0.20081443693388612,1.2512738545519415,"[13.5,13.8)"
CV,sim_0,30955458789376.0,13.490737245054394,1896206696448.0,1835931271168.0,-0.031787370750724984,1.0328309813262526,"[13.2,13.5)"
CV,sim_0,26272973455360.0,13.41950922703721,702060429312.0,520813314048.0,-0.2581645506521671,1.348007837693826,"[13.2,13.5)"
CV,sim_0,28242213863424.0,13.450898737386272,1363877036032.0,1075288473600.0,-0.2115942675240035,1.2683824569102122,"[13.2,13.5)"
CV,sim_0,26580768260096.0,13.424567529138638,2105538510848.0,1979376861184.0,-0.05991894663241697,1.063738064306023,"[13.2,13.5)"
CV,sim_0,25459823738880.0,13.405855392660262,880749969408.0,668635365376.0,-0.2408340748221357,1.3172350955632142,"[13.2,13.5)"
CV,sim_0,26660929798144.0,13.425875291332972,617454174208.0,466160582656.0,-0.24502804883627552,1.324552519412921,"[13.2,13.5)"
CV,sim_0,24993417134080.0,13.39782563751981,981787672576.0,804872716288.0,-0.1801967586574123,1.2198048867949156,"[13.2,13.5)"
CV,sim_0,24657967185920.0,13.391957270299958,2286866137088.0,2163706822656.0,-0.05385506061532134,1.0569205185944828,"[13.2,13.5)"
CV,sim_0,25387641864192.0,13.404622363223838,1932427526144.0,1745801969664.0,-0.0965757079916968,1.1068996138868592,"[13.2,13.5)"
CV,sim_0,23084381765632.0,13.363318247985282,597954789376.0,494646132736.0,-0.1727700128429584,1.2088536628570739,"[13.2,13.5)"
CV,sim_0,22347549507584.0,13.349229908063894,2143024316416.0,2093622362112.0,-0.023052446920723686,1.023596401718868,"[13.2,13.5)"
CV,sim_0,21781159084032.0,13.338080987008606,842010853376.0,845756628992.0,0.00444860728455162,0.9955710951737211,"[13.2,13.5)"
CV,sim_0,20423903281152.0,13.310138745168626,3103134318592.0,3197647454208.0,0.030457313771349703,0.9704429156217257,"[13.2,13.5)"
CV,sim_0,18739332382720.0,13.272754114424465,1213800644608.0,924059566080.0,-0.23870565550867096,1.3135523825126614,"[13.2,13.5)"
CV,sim_0,17594455162880.0,13.245375822838255,1890394308608.0,1618537086976.0,-0.14380979692653817,1.1679647774645223,"[13.2,13.5)"
CV,sim_0,16039508180992.0,13.205191047392287,2857165127680.0,2571995447296.0,-0.09980861015742411,1.1108748775911736,"[13.2,13.5)"
CV,sim_0,15754809311232.0,13.197413151046618,504607866880.0,441640157184.0,-0.12478543009115284,1.1425769569902717,"[13.0,13.2)"
CV,sim_0,15414098657280.0,13.187918134342166,530579226624.0,476379381760.0,-0.10215221807469901,1.1137745396615546,"[13.0,13.2)"
CV,sim_0,15472009412608.0,13.18954672094798,436983431168.0,468364296192.0,0.07181248254681652,0.9329990238813255,"[13.0,13.2)"
CV,sim_0,14573956497408.0,13.163577468841591,504235556864.0,479616040960.0,-0.048825426070935055,1.0513317191283293,"[13.0,13.2)"
CV,sim_0,13549040566272.0,13.131908543068262,2048265551872.0,1861956665344.0,-0.09095934184789864,1.100060806997127,"[13.0,13.2)"
CV,sim_0,13408428621824.0,13.127377884424455,747083464704.0,752387031040.0,0.007099027868460872,0.9929510130860855,"[13.0,13.2)"
CV,sim_0,13013382856704.0,13.114390207017232,864391135232.0,961973125120.0,0.11289101184709545,0.8985605862161407,"[13.0,13.2)"
CV,sim_0,13306006863872.0,13.124047743139863,1168585523200.0,912744382464.0,-0.2189323208757683,1.2802987842503548,"[13.0,13.2)"
CV,sim_0,12169330556928.0,13.085266688055148,439243669504.0,406217916416.0,-0.07518777248467379,1.0813005821589095,"[13.0,13.2)"
