suite,sim_id,model_name,n_halos,csv_path
CV,0,fm_two_head,51,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/CV_benchmark.csv
CV,1,fm_two_head,62,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/CV_benchmark.csv
CV,10,fm_two_head,39,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/CV_benchmark.csv
CV,11,fm_two_head,58,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/CV_benchmark.csv
CV,12,fm_two_head,46,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/CV_benchmark.csv
CV,13,fm_two_head,44,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/CV_benchmark.csv
CV,14,fm_two_head,60,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/CV_benchmark.csv
CV,15,fm_two_head,47,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/CV_benchmark.csv
CV,16,fm_two_head,60,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/CV_benchmark.csv
CV,17,fm_two_head,54,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/CV_benchmark.csv
CV,18,fm_two_head,57,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/CV_benchmark.csv
CV,19,fm_two_head,61,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/CV_benchmark.csv
CV,2,fm_two_head,54,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/CV_benchmark.csv
CV,20,fm_two_head,58,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/CV_benchmark.csv
CV,21,fm_two_head,48,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/CV_benchmark.csv
CV,22,fm_two_head,50,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/CV_benchmark.csv
CV,23,fm_two_head,54,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/CV_benchmark.csv
CV,24,fm_two_head,37,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/CV_benchmark.csv
CV,25,fm_two_head,44,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/CV_benchmark.csv
CV,26,fm_two_head,54,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/CV_benchmark.csv
CV,3,fm_two_head,47,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/CV_benchmark.csv
CV,4,fm_two_head,51,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/CV_benchmark.csv
CV,5,fm_two_head,55,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/CV_benchmark.csv
CV,6,fm_two_head,38,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/CV_benchmark.csv
CV,7,fm_two_head,41,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/CV_benchmark.csv
CV,8,fm_two_head,61,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/CV_benchmark.csv
CV,9,fm_two_head,59,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/CV_benchmark.csv
1P,1P_p10_1,fm_two_head,56,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/1P_benchmark.csv
1P,1P_p10_2,fm_two_head,56,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/1P_benchmark.csv
1P,1P_p10_n1,fm_two_head,54,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/1P_benchmark.csv
1P,1P_p10_n2,fm_two_head,54,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/1P_benchmark.csv
1P,1P_p11_1,fm_two_head,56,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/1P_benchmark.csv
1P,1P_p11_2,fm_two_head,56,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/1P_benchmark.csv
1P,1P_p11_n1,fm_two_head,55,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/1P_benchmark.csv
1P,1P_p11_n2,fm_two_head,57,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/1P_benchmark.csv
1P,1P_p12_1,fm_two_head,54,/mnt/home/mlee1/vdm_bind2/suite_analysis_artifacts/1P_benchmark.csv
